LASRRA ID,First Name,Surname,Other Name,Matriculation Number,Sex,Date of Birth,Mobile Phone,Email Address,Institution,Campus,Programme Type,Faculty,Department,Enrollment Status,Photograph
LA-2023-0014,Joy,Ajayi,Tolulope,LASU/23/002,Female,6/15/2002,8145678014,joy.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,tdhfXwI3QOGiX2vEgBw1,vWe424ObhwZcVN1eMJ9v,Enrolled,
LA-2023-0015,Emmanuel,Uche,Chijioke,LASU/23/003,Male,12/5/1999,9056789015,emmanuel.u@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Part-time,IBfNa7nUxsRLjrL3L8Cg,JX0b6qIu1SP15lzNOMLC,Enrolled,
LA-2023-0016,Grace,Ogundipe,Titilayo,LASU/23/004,Female,2/28/2003,7067890016,grace.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,tdhfXwI3QOGiX2vEgBw1,vWe424ObhwZcVN1eMJ9v,Enrolled,
LA-2023-0017,Kolawole,Adekunle,Temitope,LASU/23/005,Male,9/12/2000,8078901017,kolawole.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,IBfNa7nUxsRLjrL3L8Cg,JX0b6qIu1SP15lzNOMLC,Enrolled,
LA-2023-0018,Mary,Chukwuma,Ifunanya,LASU/23/006,Female,11/23/2001,8189012018,mary.c@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,tdhfXwI3QOGiX2vEgBw1,vWe424ObhwZcVN1eMJ9v,Enrolled,
LA-2023-0019,Aliyu,Danjuma,Umar,LASU/23/007,Male,5/8/1998,9090123019,aliyu.d@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Part-time,IBfNa7nUxsRLjrL3L8Cg,JX0b6qIu1SP15lzNOMLC,Enrolled,
LA-2023-0020,Esther,Olayinka,Bukola,LASU/23/008,Female,10/17/2002,7001234020,esther.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Sandwich,tdhfXwI3QOGiX2vEgBw1,vWe424ObhwZcVN1eMJ9v,Enrolled,
LA-2023-0021,Michael,Afolabi,Olumide,LASU/23/009,Male,4/4/2000,8012345021,michael.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,zIiiQIeAyMm29LyFDxd2,Enrolled,
LA-2023-0022,Sarah,Ikenna,Chizoba,LASU/23/010,Female,8/21/2004,8123456022,sarah.i@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,a5rQHT9XXh8O5CBfXiiN,Enrolled,
LA-2023-0023,Victor,Ademola,Kehinde,LASU/23/011,Male,7/14/2001,9034567023,victor.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,BPbYyzQDo6HdXL8rupoR,SDL3qZCwG3APhPeSG1YY,Enrolled,
LA-2023-0024,Mercy,Oladipo,Favour,LASU/23/012,Female,3/30/2003,7045678024,mercy.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,BPbYyzQDo6HdXL8rupoR,3c9TxLTuaCvbo2q05wgM,Enrolled,
LA-2023-0025,Daniel,Balogun,Ayodeji,LASUCOM/21/001,Male,1/11/1999,8056789025,daniel.b@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0026,Victoria,Nwankwo,Chiamaka,LASUCOM/21/002,Female,6/25/2000,8167890026,victoria.n@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0027,Ibrahim,Salisu,Kabir,LASUCOM/21/003,Male,11/3/1998,9078901027,ibrahim.s@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0028,Juliet,Adebowale,Yetunde,LASUCOM/21/004,Female,2/19/2001,7089012028,juliet.a@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0029,John,Okeke,Obinna,LASUCOM/21/005,Male,8/7/2000,8090123029,john.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0030,Florence,Coker,Omotola,LASUCOM/21/006,Female,12/31/2002,8101234030,florence.c@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0031,Peter,Ogunleye,Sunday,LASUCOM/21/007,Male,3/14/1997,9012345031,peter.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,VoESoPL6RmT0h2SGAyHH,Enrolled,
LA-2023-0032,Alice,Ezeani,Nkechi,LASUCOM/21/008,Female,9/22/2003,7023456032,alice.e@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,ysKFrKBqLxvQHxyr2Jb1,Enrolled,
LA-2023-0033,Moses,Olayemi,Taiwo,LASUCOM/21/009,Male,5/6/2001,8034567033,moses.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0034,Gloria,Adebiyi,Kemi,LASUCOM/21/010,Female,1/18/2004,8145678034,gloria.a@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0035,Paul,Nnaji,Chukwudi,LASUCOM/21/011,Male,10/29/1999,9056789035,paul.n@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0036,Helen,Olatunbosun,Bose,LASUCOM/21/012,Female,4/12/2002,7067890036,helen.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0037,Stephen,Oluwasegun,Damilare,LASTECH/24/001,Male,8/5/2001,8078901037,stephen.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0038,Cynthia,Ibekwe,Onyinye,LASTECH/24/002,Female,11/16/2003,8189012038,cynthia.i@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0039,Charles,Adeola,Mayowa,LASTECH/24/003,Male,2/27/2000,9090123039,charles.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Part-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0040,Lydia,Ogunlana,Peju,LASTECH/24/004,Female,7/8/2002,7001234040,lydia.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0041,Henry,Ojo,Babatunde,LASTECH/24/005,Male,12/20/1998,8012345041,henry.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Part-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0042,Dorcas,Ayeni,Folashade,LASTECH/24/006,Female,5/2/2004,8123456042,dorcas.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,4TVYos56o9xLYgz2D2ta,Enrolled,
LA-2023-0043,Felix,Adewale,Oladapo,LASTECH/24/007,Male,9/13/2001,9034567043,felix.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,J694B8RpGjCsFWBq546r,Enrolled,
LA-2023-0044,Naomi,Uzor,Chika,LASTECH/24/008,Female,3/26/2003,7045678044,naomi.u@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Part-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0045,Simon,Akinyemi,Oluwaseun,LASTECH/24/009,Male,6/9/1999,8056789045,simon.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0046,Abigail,Olowo,Adebisi,LASTECH/24/010,Female,10/24/2002,8167890046,abigail.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,4TVYos56o9xLYgz2D2ta,Enrolled,
LA-2023-0047,Richard,Osagie,Osaro,LASTECH/24/011,Male,1/17/2000,9078901047,richard.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,J694B8RpGjCsFWBq546r,Enrolled,
LA-2023-0048,Evelyn,Adekoya,Bisola,LASTECH/24/012,Female,8/31/2004,7089012048,evelyn.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0049,Hassan,Idris,Mustapha,LASCO/22/013,Male,11/14/2001,8090123049,hassan.i@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,OxjSopvz2qXdlsFZgvLL,8GUV35coPpLObsDH7XV8,Enrolled,
LA-2023-0050,Halima,Yakubu,Asmau,LASCO/22/014,Female,2/5/2003,8101234050,halima.y@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,OxjSopvz2qXdlsFZgvLL,8GUV35coPpLObsDH7XV8,Enrolled,
LA-2023-0051,Timothy,Olanrewaju,Segun,LASCO/22/015,Male,7/28/1999,9012345051,timothy.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Part-time,OxjSopvz2qXdlsFZgvLL,8GUV35coPpLObsDH7XV8,Enrolled,
LA-2023-0052,Patience,Okon,Eno,LASCO/22/016,Female,5/11/2002,7023456052,patience.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,KdmVyifOdg6TBLSQMQE5,B5khS2gyQMuudnV8uLYp,Enrolled,
LA-2023-0053,Joshua,Adegboye,Lanre,LASU/23/013,Male,9/2/2000,8034567053,joshua.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,tdhfXwI3QOGiX2vEgBw1,0mdjsyWCnUUsoUiXax0c,Enrolled,
LA-2023-0054,Deborah,Akinola,Bunmi,LASU/23/014,Female,4/19/2004,8145678054,deborah.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,tdhfXwI3QOGiX2vEgBw1,0mdjsyWCnUUsoUiXax0c,Enrolled,
LA-2023-0055,Solomon,Fashola,Wasiu,LASU/23/015,Male,12/8/1998,9056789055,solomon.f@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Part-time,tdhfXwI3QOGiX2vEgBw1,0mdjsyWCnUUsoUiXax0c,Enrolled,
LA-2023-0056,Janet,Oluwafemi,Ronke,LASU/23/016,Female,3/21/2001,7067890056,janet.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,IBfNa7nUxsRLjrL3L8Cg,S48tsAT6wZFGpnp8BSOx,Enrolled,
LA-2023-0057,Vincent,Aderemi,Tolu,LASU/23/017,Male,8/15/2002,8078901057,vincent.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,IBfNa7nUxsRLjrL3L8Cg,S48tsAT6wZFGpnp8BSOx,Enrolled,
LA-2023-0058,Rose,Njoku,Ngozika,LASU/23/018,Female,1/7/2000,8189012058,rose.n@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Sandwich,tdhfXwI3QOGiX2vEgBw1,vWe424ObhwZcVN1eMJ9v,Enrolled,
LA-2023-0059,Benjamin,Folorunsho,Dotun,LASUCOM/21/013,Male,5/30/1999,9090123059,benjamin.f@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,J7eDgJhrgDRiwEzkRI3x,Enrolled,
LA-2023-0060,Martha,Ezekiel,Simi,LASUCOM/21/014,Female,10/12/2003,7001234060,martha.e@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,J7eDgJhrgDRiwEzkRI3x,Enrolled,
LA-2023-0061,Isaac,Oladepo,Femi,LASUCOM/21/015,Male,2/24/2001,8012345061,isaac.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,J7eDgJhrgDRiwEzkRI3x,Enrolled,
LA-2023-0062,Rachael,Adeoti,Kikelomo,LASUCOM/21/016,Female,6/3/2004,8123456062,rachael.a@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0063,Caleb,Obasanjo,Olusegun,LASTECH/24/013,Male,11/26/2000,9034567063,caleb.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0064,Stella,Ogbonna,Chidiogo,LASTECH/24/014,Female,3/9/2002,7045678064,stella.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0065,Matthew,Adeyinka,Wale,LASTECH/24/015,Male,8/22/1998,8056789065,matthew.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Part-time,FSRZ6o3ilrdEyUJDvkMp,J694B8RpGjCsFWBq546r,Enrolled,
LA-2023-0066,Monica,Dada,Yemisi,LASTECH/24/016,Female,1/4/2003,8167890066,monica.d@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,4TVYos56o9xLYgz2D2ta,Enrolled,
LA-2023-0067,Luke,Ogunmola,Kunle,LASCO/22/017,Male,5/18/2001,9078901067,luke.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,KW7P3IAmuIF8UfA732bn,UsQcLDDsZIOunQFppdNR,Enrolled,
LA-2023-0068,Veronica,Alabi,Bimbo,LASCO/22/018,Female,10/1/2004,7089012068,veronica.a@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,KdmVyifOdg6TBLSQMQE5,B5khS2gyQMuudnV8uLYp,Enrolled,
LA-2023-0069,Mark,Olayiwola,Bode,LASU/23/019,Male,2/12/1999,8090123069,mark.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,7sOYGbPXpzR6BoU2F6Jn,Enrolled,
LA-2023-0070,Lucy,Adekanbi,Sola,LASU/23/020,Female,7/26/2002,8101234070,lucy.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,7sOYGbPXpzR6BoU2F6Jn,Enrolled,
LA-2023-0071,Philip,Osinbajo,Dapo,LASU/23/021,Male,12/9/2000,9012345071,philip.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,IBfNa7nUxsRLjrL3L8Cg,GdbyDv9N7ANTDIfDWmIf,Enrolled,
LA-2023-0072,Agnes,Igbokwe,Ogechi,LASU/23/022,Female,4/23/2003,7023456072,agnes.i@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Sandwich,tdhfXwI3QOGiX2vEgBw1,0mdjsyWCnUUsoUiXax0c,Enrolled,
LA-2023-0073,Anthony,Adetayo,Fola,LASUCOM/21/017,Male,9/6/2001,8034567073,anthony.a@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0074,Cecilia,Olowookere,Remi,LASUCOM/21/018,Female,2/17/2004,8145678074,cecilia.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0075,Oliver,Awolowo,Bayo,LASTECH/24/017,Male,7/2/1998,9056789075,oliver.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0076,Diana,Adelabu,Seyi,LASTECH/24/018,Female,11/15/2002,7067890076,diana.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0077,Martin,Olukoya,Niyi,LASCO/22/019,Male,4/29/2000,8078901077,martin.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Part-time,IffTxMKa5pP1L8aPov4B,cbqMHNlywpDplArAs1Yu,Enrolled,
LA-2023-0078,Sophia,Adebayo,Moji,LASCO/22/020,Female,9/10/2003,8189012078,sophia.a@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,IffTxMKa5pP1L8aPov4B,cbqMHNlywpDplArAs1Yu,Enrolled,
LA-2023-0079,Gabriel,Ogunjobi,Lekan,LASU/23/023,Male,1/24/1999,9090123079,gabriel.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,zIiiQIeAyMm29LyFDxd2,Enrolled,
LA-2023-0080,Chloe,Fasanya,Nike,LASU/23/024,Female,6/7/2001,7001234080,chloe.f@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,BPbYyzQDo6HdXL8rupoR,3c9TxLTuaCvbo2q05wgM,Enrolled,
LA-2023-0081,Arthur,Adeigbe,Dare,LASUCOM/21/019,Male,10/21/2004,8012345081,arthur.a@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,VoESoPL6RmT0h2SGAyHH,Enrolled,
LA-2023-0082,Mia,Oshodi,Kola,LASUCOM/21/020,Female,3/5/2000,8123456082,mia.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,ysKFrKBqLxvQHxyr2Jb1,Enrolled,
LA-2023-0083,Edward,Adesanya,Dayo,LASTECH/24/019,Male,8/19/2002,9034567083,edward.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,FSRZ6o3ilrdEyUJDvkMp,J694B8RpGjCsFWBq546r,Enrolled,
LA-2023-0084,Emma,Olumide,Lola,LASTECH/24/020,Female,12/31/1998,7045678084,emma.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,4TVYos56o9xLYgz2D2ta,Enrolled,
LA-2023-0085,Justin,Eromosele,Osas,LASCO/22/021,Male,5/14/2001,8056789085,justin.e@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Part-time,dGLfl8x8JB39eyWTtzSD,hiTs05zK1DXJoEwXOEDH,Enrolled,
LA-2023-0086,Olivia,Akinpelu,Bisi,LASCO/22/022,Female,9/28/2003,8167890086,olivia.a@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,dGLfl8x8JB39eyWTtzSD,hiTs05zK1DXJoEwXOEDH,Enrolled,
LA-2023-0087,Nathan,Olaleye,Jide,LASU/23/025,Male,2/10/1999,9078901087,nathan.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,7sOYGbPXpzR6BoU2F6Jn,Enrolled,
LA-2023-0088,Isabella,Adeyemo,Toyin,LASU/23/026,Female,7/25/2002,7089012088,isabella.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Sandwich,tdhfXwI3QOGiX2vEgBw1,0mdjsyWCnUUsoUiXax0c,Enrolled,
LA-2023-0089,Ryan,Ogunbiyi,Taiye,LASUCOM/21/021,Male,11/8/2000,8090123089,ryan.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,dZVN7NyHXprhDN7Uja2n,Enrolled,
LA-2023-0090,Ava,Adegbenro,Kehinde,LASUCOM/21/022,Female,4/22/2004,8101234090,ava.a@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,6AAQ6Ml3udCBYuFAdf5d,CzDBDvR5rTkjLNHkGvMy,Enrolled,
LA-2023-0091,Jason,Olowu,Banji,LASTECH/24/021,Male,8/4/2001,9012345091,jason.o@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Part-time,FSRZ6o3ilrdEyUJDvkMp,SY9eqlwAcYpRJqHplZJC,Enrolled,
LA-2023-0092,Lily,Akinola,Folake,LASTECH/24/022,Female,1/19/1998,7023456092,lily.a@student.edu.ng,mBk6Dx5V03yQrnicjBuk,Main Campus,Full-time,rcrzL3nmpb9cGupjjYM8,Xs6Dei4NU2Y77Qig6Ymt,Enrolled,
LA-2023-0093,Derek,Ogunwusi,Yinka,LASCO/22/023,Male,6/3/2003,8034567093,derek.o@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,dGLfl8x8JB39eyWTtzSD,QlA5B9wfpxBVox8Y8xte,Enrolled,
LA-2023-0094,Zoe,Ademidun,Tola,LASCO/22/024,Female,10/17/2000,8145678094,zoe.a@student.edu.ng,THVMs2YaG7xV3AILO4Pl,Main Campus,Full-time,dGLfl8x8JB39eyWTtzSD,QlA5B9wfpxBVox8Y8xte,Enrolled,
LA-2023-0095,Colin,Olatilewa,Dipo,LASU/23/027,Male,3/1/2002,9056789095,colin.o@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Epe,Full-time,kv2uxjfEqOeB5Pyw2RFm,zIiiQIeAyMm29LyFDxd2,Enrolled,
LA-2023-0096,Ruby,Adeyefa,Kemi,LASU/23/028,Female,7/16/1999,7067890096,ruby.a@student.edu.ng,tiOGCLZ3STaPgDmP9X6a,Ojo,Full-time,BPbYyzQDo6HdXL8rupoR,SDL3qZCwG3APhPeSG1YY,Enrolled,
LA-2023-0097,Sean,Ogunleye,Seyi,LASUCOM/21/023,Male,12/28/2004,8078901097,sean.o@student.edu.ng,NHlJvMrUGGAeI6Jd5pTg,Ikeja,Full-time,xI5e0YceIWH2OWBwNERZ,VoESoPL6RmT0h2SGAyHH,Enrolled,
